"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","biomaterial_provider_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_phone","contact_fax","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","contact_web_link","supplementary_file","data_row_count"
"GSM327282","00-TB-002: MSI","GSM327282","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","00-TB-002","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327282/GSM327282.CEL.gz","54675"
"GSM327283","00-TB-005: MSS","GSM327283","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","00-TB-005","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327283/GSM327283.CEL.gz","54675"
"GSM327284","01-TB-006: MSS","GSM327284","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-006","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327284/GSM327284.CEL.gz","54675"
"GSM327285","01-TB-008: MSS","GSM327285","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-008","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327285/GSM327285.CEL.gz","54675"
"GSM327286","01-TB-019: MSS","GSM327286","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-019","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327286/GSM327286.CEL.gz","54675"
"GSM327287","01-TB-020: MSS","GSM327287","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-020","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327287/GSM327287.CEL.gz","54675"
"GSM327288","01-TB-024: MSI","GSM327288","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSI","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-024","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327288/GSM327288.CEL.gz","54675"
"GSM327289","01-TB-030: MSS","GSM327289","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-030","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327289/GSM327289.CEL.gz","54675"
"GSM327290","01-TB-032: MSS","GSM327290","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-032","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327290/GSM327290.CEL.gz","54675"
"GSM327291","01-TB-034: MSS","GSM327291","Public on Jan 08 2009","Oct 06 2008","Jan 07 2009","RNA","1","primary colorectal adenocarcinoma","Homo sapiens","MSS","Royal Melbourne Hospital","total RNA","Surgically isolated colorectal cancers were immediately frozen in liquid nitrogen. Total RNA was extracted from cancer tissue using Trizol reagent (Invitrogen).","biotin","Approximately 8 ug of total RNA was processed to produce biotinylated cRNA targets.","9606","standard Affymetrix procedures","standard Affymetrix procedures","01-TB-034","The simpleaffy package in R/Bioconductor was used to calculate MAS5.0 calls. These values are not normalized. Normalization was performed by quantile normalization with respect to a defined reference set.","GPL570","Oliver,,Sieber","61-3-9341-3155","61-3-9341-3104","LCCI laboratory","Melbourne Tumour Biology Branch","Ludwig Institute for Cancer Research","6th floor, Centre for Medical Research,  Royal Melbourne Hospital,  Royal Parade","Parkville","Victoria","3052","Australia","http://www.ludwig.edu.au","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM327nnn/GSM327291/GSM327291.CEL.gz","54675"
