"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count"
"GSM680176","Control-1","GSM680176","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, control","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA+","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA+","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680176/GSM680176.CEL.gz","54715"
"GSM680177","Control-2","GSM680177","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, control","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA+","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA+","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680177/GSM680177.CEL.gz","54715"
"GSM680178","Control-3","GSM680178","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, control","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA+","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA+","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680178/GSM680178.CEL.gz","54715"
"GSM680179","Control-4","GSM680179","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, control","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA+","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA+","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680179/GSM680179.CEL.gz","54715"
"GSM680180","Control-5","GSM680180","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, control","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA+","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA+","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680180/GSM680180.CEL.gz","54715"
"GSM680181","Control-6","GSM680181","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, control","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA+","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA+","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680181/GSM680181.CEL.gz","54715"
"GSM680182","Control-7","GSM680182","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, control","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA+","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA+","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680182/GSM680182.CEL.gz","54715"
"GSM680183","Control-8","GSM680183","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, control","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA+","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA+","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680183/GSM680183.CEL.gz","54715"
"GSM680184","MSI-1","GSM680184","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSI","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: high-level microsatellite instability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSI/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680184/GSM680184.CEL.gz","54715"
"GSM680185","MSI-2","GSM680185","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSI","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: high-level microsatellite instability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSI/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680185/GSM680185.CEL.gz","54715"
"GSM680186","MSI-3","GSM680186","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSI","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: high-level microsatellite instability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSI/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680186/GSM680186.CEL.gz","54715"
"GSM680187","MSI-4","GSM680187","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSI","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: high-level microsatellite instability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSI/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680187/GSM680187.CEL.gz","54715"
"GSM680188","MSI-5","GSM680188","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSI","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: high-level microsatellite instability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSI/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680188/GSM680188.CEL.gz","54715"
"GSM680189","MSI-6","GSM680189","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSI","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: high-level microsatellite instability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSI/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680189/GSM680189.CEL.gz","54715"
"GSM680190","MSI-7","GSM680190","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSI","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: high-level microsatellite instability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSI/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680190/GSM680190.CEL.gz","54715"
"GSM680191","MSI-8","GSM680191","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSI","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: high-level microsatellite instability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSI/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680191/GSM680191.CEL.gz","54715"
"GSM680192","MSS-1","GSM680192","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSS/HLA-","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680192/GSM680192.CEL.gz","54715"
"GSM680193","MSS-2","GSM680193","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSS/HLA-","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680193/GSM680193.CEL.gz","54715"
"GSM680194","MSS-3","GSM680194","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSS/HLA-","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680194/GSM680194.CEL.gz","54715"
"GSM680195","MSS-4","GSM680195","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSS/HLA-","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680195/GSM680195.CEL.gz","54715"
"GSM680196","MSS-5","GSM680196","Public on Feb 28 2011","Feb 27 2011","Feb 28 2011","RNA","1","Colorectal, MSS/HLA-","Homo sapiens","tissue: colorectal cancer","microsatellite phenotype: microsatellite stability","hla expression: HLA-","total RNA","RNeasy mini kit (Qiagen) + QIAshredder.","Biotin","GeneChip 3’ IVT Express kit.","9606","Samples were hybridized to Affymetrix HT HG-133+PM 24 Array Plate GeneChips using the Affymetrix standard hybridization protocol.","Gene Titan System.","MSS/HLA-","Data were normalized using the RMA method included in the R Bioconductor package limma.","GPL13158","Francisco ,,Ruiz-Cabello","Hospital Universitario Virgen de las Nieves","Avenida Fuerzas Armadas 2","Granada","18014","Spain","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM680nnn/GSM680196/GSM680196.CEL.gz","54715"
