col.name,var.class,uniqueness,requiredness,allowedvalues,description
sample_name,character,unique,required,*,primary sample identifier
alt_sample_name,character,unique,optional,*,"if another identifier is used, for example in supplemental tables"
unique_patient_ID,character,non-unique,optional,*,"Use this column if there are technical replicates.  If this column contains non-unique entries, expression values of those arrays will eventually be averaged."
sample_type,character,non-unique,optional,tumor|metastatic|adjacentnormal|healthy|cellline,"""healthy"" should be only from individuals without cancer, ""adjacentnormal"" from individuals with cancer, ""metastatic"" for non-primary tumors"
surgery_type,character,non-unique,optional,rc|turbt,radical cystectomy or TURBT
histological_type,character,non-unique,optional,tcc|cis|squamous,Histology
summarygrade,character,non-unique,optional,low|high,
summarystage,character,non-unique,optional,superficial|invasive,
T,character,non-unique,optional,0|1|2|3|4,"Pathological Stage (1-4).  If multiple stages given (eg 34), use the highest"
substage,character,non-unique,optional,a|b|c|d,"substage (abcd).  For cases like ab, bc, use highest given"
G,character,non-unique,optional,0|1|2|3|4,G: grade
N,character,non-unique,optional,0|1|2|3,N: degree of spread to regional lymph nodes
M,character,non-unique,optional,[01],M (0/1): presence of metastasis
visceral_metastasis,character,non-unique,optional,[yn],visceral disease
lymphovascular_invasion,character,non-unique,optional,[yn],lymphovascular invasion
age,integer,non-unique,optional,[1-9][0-9],in years
gender,character,non-unique,optional,[mf],gender
ecog_ps,character,non-unique,optional,0|1|2|3,ECOG Performance Status
neoadjuvant_chemo,character,non-unique,optional,[yn],neoadjuvant treatment
neoadjuvant_regimen,character,non-unique,optional,*,drugs
adjuvant_chemo,character,non-unique,optional,[yn],adjuvant treatment
adjuvant_regimen,character,non-unique,optional,*,drugs
days_to_tumor_recurrence,numeric,non-unique,optional,decimal,time to recurrence or last follow-up in days
recurrence_status,character,non-unique,optional,recurrence|norecurrence,recurrence censoring variable
days_to_death,numeric,non-unique,optional,decimal,time to death or last follow-up in days
vital_status,character,non-unique,optional,living|deceased,Overall survival censoring variable
dfs_event,character,non-unique,optional,dod|doc|ned,Last known status
smoking_status,character,non-unique,optional,current|former|current_or_former|never,
smoking_package_years,numeric,non-unique,optional,decimal,Package Years
nomogram_score,numeric,non-unique,optional,decimal,5 year recurrence free survival probability
batch,character,non-unique,optional,*,batch variable - hybridization date when Affymetrix CEL files are available
uncurated_author_metadata,character,non-unique,optional,*,"original uncurated data, with each field separated by ///."
