col.name,var.class,uniqueness,requiredness,allowedvalues,description,
sample_name,character,unique,required,*,primary sample identifier,
alt_sample_name,character,unique,optional,*,"if another identifier is used, for example in supplemental tables",
unique_patient_ID,character,non-unique,optional,*,Use this column if there are technical replicates.  If this column contains non-unique entries-- expression values of those arrays will eventually be averaged.,
sample_type,character,non-unique,optional,tumor|metastatic|adjacentnormal|healthy|cellline,healthy should be only from individuals without cancer| adjacentnormal from individuals with cancer| metastatic for non-primary distant tumors,
smoker,character,non-unique,optional,y|n,smoker or non-smoker,
primarysite,character,non-unique,optional,bronch|lung,bronch = bronchepithelium; lung = lung tumor,
gender,character,non-unique,optional,m|f,male or female,
race,character,non-unique,optional,cau|other|afa|asi,caucasian|asian|african-american,
packyears,numeric,non-unique,optional,[1-9][0-9][0-9][0-9],# of pack years,
bronch_status,character,non-unique,optional,diagnostic|nondiagnostic,bronchoscopy used?,
histology,character,non-unique,optional,sq|la|ad|nsclc_squa|nsclc_nos|nsclc_adeno|lcuc|ctr_infl|sclc|normal|as|lcnec|lcc|scc|nsclc_lcc,"sq = squamous; la = lung adenocarcinoma ?; ad = adenocarcinoma; nsclc_squa = non-small cell lung cancer squamous; nsclc_nos = non-small cell lung carcinoma not otherwise specified; nsclc_adeno = non-small cell lung cancer adenocarcinoma;lcuc = large cell undifferentiated carcinoma; ctr_infl = ??? (only in GSE11117, not sure what it refers to...)",
subtype,character,non-unique,optional,classical|basal|secretory|primitive,subtype?,
T,character,non-unique,optional,1|2|3|4,describes the size of the tumor and wehther it has invaded nearby tissue,
pstage,character,non-unique,optional,1|2|3|4,"describes the size of the tumor and wehther it has invaded nearby tissue.  NOTE: Some studies have T and pstage and the values are different, so we've included both for comprehensiveness",
N,numeric,non-unique,optional,0|1|2|3,descibes regional lymph nodes that are involved (0 = tumor cells absent from regional lymph nodes; 1 = regional lymph node metastasis present),
M,numeric,non-unique,optional,0|1,describes distant metastasis,
substage,character,non-unique,optional,a|b|c|d,"substage (abcd).  For cases like ab, bc-- use highest given",
side_of_lung,character,non-unique,optional,l|r,left or right,
received_platinum_based_therapy_with_progression,character,non-unique,optional,y|n,platinum based therapy with progression,
egfr_status,character,non-unique,optional,wt|mut,epidermal growth factor receptor wildtype or mutant,
gefitinib_treatment,character,non-unique,optional,y|n,Gefitinib is an EGFR inhibitor and is only effective in cancers with mutated and overactive EGFR, 
summary_grade,character,non-unique,optional,moderately|poorly|well,moderately = G2 (intermediate grade); poorly = G3 (High grade); well = G1 (low grade),
summary_stage,character,non-unique,optional,early|late|NA,early or late stage,
cause_of_death,character,non-unique,optional,alive|lungcancer|other_conditions,cause of death,
kras_mutation,character,non-unique,optional,y|n,y = mutation; n = wildtype,
p53_mutation,character,non-unique,optional,y|n,y = mutation; n = wildtype,
pik3ca_mutation,character,non-unique,optional,y|n,y = mutation; n = wildtype,
age_at_initial_pathologic_diagnosis,integer,non-unique,optional,[1-9][0-9],in years,
days_to_tumor_recurrence,numeric,non-unique,optional,decimal,time to recurrence or last follow-up in days,
recurrence_status,character,non-unique,optional,recurrence|norecurrence,recurrence censoring variable,
days_to_death,numeric,non-unique,optional,decimal,time to death or last follow-up in days,
vital_status,character,non-unique,optional,living|deceased,Overall survival censoring variable,
os_binary,character,non-unique,optional,short|long,dichotomized overall survival variable (short|long),
relapse_binary,character,non-unique,optional,short|long,dichotomized relapse variable (short|long),
