Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [md5]
TCGA-09-2043-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-09-2043-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A01_547336	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-09-2043-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A01_547336.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	0941dca5adb0265fc7c7359d9022a590	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-09-2043-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A01_547336.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	f4f3d4001f6fd9ce261e625af340b29e	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-09-2043-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A01_547336.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	ceeee291181a3f63beb314f751a88aa6
TCGA-13-2060-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-13-2060-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A02_547340	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-13-2060-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A02_547340.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	48b77c5b7d23ea5e793a7434187b9df4	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-13-2060-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A02_547340.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	cb15b19994cfc55d1473328042a165a4	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-13-2060-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A02_547340.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	2cf9bcf717e6e337afc0dfb9c14ab4dc
TCGA-24-2290-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-24-2290-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A03_547344	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-24-2290-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A03_547344.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	7c8e2d2e6169b16819037398793ca044	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-24-2290-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A03_547344.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	14fe1d85149939affd02edb2144ff41a	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-24-2290-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A03_547344.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	9ee08c95ef1ef5a627ceede9ddca395b
TCGA-25-2392-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-25-2392-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A04_547348	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-25-2392-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A04_547348.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	1f8240b5363f7b89d8a77fa6d237e266	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-25-2392-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A04_547348.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	d04a14b40bc0ccca0c8951262144f0d7	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-25-2392-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A04_547348.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	98c6d001b75b4c0609a2a82adf2317a4
TCGA-25-2404-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-25-2404-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A05_547376	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-25-2404-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A05_547376.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	b02a9fdffdadd78d3a4a8b0a2fc1b6b9	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-25-2404-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A05_547376.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	4a0396ea22a548104947cfdbbb7a4336	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-25-2404-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A05_547376.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	704ea8c6b7abdaffc023c72f2c301401
TCGA-59-2349-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-59-2349-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A06_547380	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-59-2349-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A06_547380.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	9463f46976db2d55a2d982c4c202a45d	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-59-2349-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A06_547380.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	ad84d277af845a8e7bc12200d4cf675b	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-59-2349-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A06_547380.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	7de010e95c60360bde2b5f5b1fb52e7c
TCGA-09-2044-01B-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-09-2044-01B-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A07_547384	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-09-2044-01B-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A07_547384.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	ff457e74d09cddd267b977b29996e551	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-09-2044-01B-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A07_547384.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	7f72643da9ea8c7f4f8b57841f468911	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-09-2044-01B-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A07_547384.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	be0131bd2f408baf0e8217a6410d9627
TCGA-24-2262-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-24-2262-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A08_547388	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-24-2262-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A08_547388.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	224c0adcbafdce2685fa888b44433480	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-24-2262-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A08_547388.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	dbeb017856bb5ee59c049cc731c6df75	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-24-2262-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A08_547388.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	e3a6a951b24b3c7d9a4d812a1017d035
TCGA-24-2293-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-24-2293-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A09_547360	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-24-2293-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A09_547360.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	7d255fe06c3fc44c11951bd3b91e58d5	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-24-2293-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A09_547360.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	f728a863bd65000d1a347aa5dd2905b9	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-24-2293-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A09_547360.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	7ada8db1480f63f525ba2057669f5e15
TCGA-25-2393-01A-01R-0709-01	broad.mit.edu:labeling:HT_HG-U133A:01	TCGA-25-2393-01A-01R-0709-01	biotin	MGED Ontology	broad.mit.edu:hybridization:HT_HG-U133A:01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A10_547364	Affymetrix.com:PhysicalArrayDesign:HT_HG-U133A	caArray	broad.mit.edu:image_acquisition:HT_HG-U133A:01	TCGA-25-2393-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A10_547364.CEL	broad.mit.edu_OV.HT_HG-U133A.Level_1.24.1004.0	Expression-Gene	Level 1	yes	09e5fdf2c5f95d74d3cb60653a1d47c1	broad.mit.edu:probeset_rma:HT_HG-U133A:01	TCGA-25-2393-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A10_547364.level2.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_2.24.1004.0	Expression-Gene	Level 2	yes	966b0e439c207afd056d7b593aa167a0	broad.mit.edu:gene_rma:HT_HG-U133A:01	TCGA-25-2393-01A-01R-0709-01	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A10_547364.level3.data.txt	broad.mit.edu_OV.HT_HG-U133A.Level_3.24.1004.0	Expression-Gene	Level 3	yes	b083129da8b5cee92dd58d96c4898f29
