PMID,ok,sample_history,sample_handling,sample_type,sample_preservation,platform_manufacturer,platform_distribution,platform_accession,platform_title,technology_type,GEO,geneSigDB_signatures,PubDate.Year,Title,Summary
20300634,yes,NA,NA,primary_tissues,FF,Agilent,commercial,GPL6848,Agilent-012391 Whole Human Genome Oligo Microarray G4112A,in situ oligonucleotide,GSE17260,,2010,Gene expression profile for predicting survival in advanced-stage serous ovarian cancer across two independent datasets.,"Yoshihara K, Tajima A, Yahata T, Kodama S, Fujiwara H, Suzuki M, Onishi Y, Hatae M, Sueyoshi K, Fujiwara H, Kudo Y, Kotera K, Masuzaki H, Tashiro H, Katabuchi H, Inoue I, Tanaka K.Gene expression profile for predicting survival in advanced-stage serous ovarian cancer across two independent datasets. PLoS One. 2010 Mar 12; 5(3):e9615. "
19962670,yes,NA,NA,primary_tissues,FF,Affymetrix|Operon,commercial|non-commercial,GPL570|GPL9216,HG-U133_Plus_2|Hs-OperatonV2,in situ oligonucleotide,GSE18520|GSE18521|GSE18154,,2009,A gene signature predictive for outcome in advanced ovarian cancer identifies a survival factor: microfibril-associated glycoprotein 2.,"Mok SC, Bonome T, Vathipadiekal V, Bell A, Johnson ME, Wong KK, Park DC, Hao K, Yip DK, Donninger H, Ozbun L, Samimi G, Brady J, Randonovich M, Pise-Masison CA, Barrett JC, Wong WH, Welch WR, Berkowitz RS, Birrer MJ.A gene signature predictive for outcome in advanced ovarian cancer identifies a survival factor: microfibril-associated glycoprotein 2. Cancer Cell. 2009 Dec 8; 16(6):521-32. "
18593951,"NOTE(I am pretty sure that this is the data for the Bonome 2008 (same title, same authors, same number of samples-- just published 3 yrs later, and the GEO page for this says that it has not been published yet, which is why I am not 100% positive but instead just very confident thatit is)",NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,HG-U133A,in situ oligonucleotide,GSE26712,,2011, A Gene Signature Predicting for Survival in Suboptimally Debulked Patients with Ovarian Cancer,"To identify a prognostic gene signature accounting for the distinct clinical outcomes in ovarian cancer patients
Despite the existence of morphologically indistinguishable disease, patients with advanced ovarian tumors display a broad range of survival end points. We hypothesize that gene expression profiling can identify a prognostic signature accounting for these distinct clinical outcomes. To resolve survival-associated loci, gene expression profiling was completed for an extensive set of 185(90 optimal/95 suboptimal) primary ovarian tumors using the Affymetrix human U133A microarray. Cox regression analysis identified probe sets associated with survival in optimally and suboptimally debulked tumor sets at a P value of <0.01. Leave-one-out cross-validation was applied to each tumor cohort and confirmed by a permutation test. External validation was conducted by applying the gene signature to a publicly available array database of expression profiles of advanced stage suboptimally debulked tumors. The prognostic signature successfully classified the tumors according to survival for suboptimally (P = 0.0179) but not optimally debulked (P = 0.144) patients. The suboptimal gene signature was validated using the independent set of tumors (odds ratio, 8.75; P = 0.0146). To elucidate signaling events amenable to therapeutic intervention in suboptimally debulked patients, pathway analysis was completed for the top 57 survival-associated probe sets. For suboptimally debulked patients, confirmation of the predictive gene signature supports the existence of a clinically relevant predictor, as well as the possibility of novel therapeutic opportunities. Ultimately, the prognostic classifier defined for suboptimally debulked tumors may aid in the classification and enhancement of patient outcome for this high-risk population."
16273092,NO(Levi said to discard),NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,HG-U133_Plus_2,in situ oligonucleotide,GSE3149,5,2006,Oncogenic pathway signatures in human cancers as a guide to targeted therapies.,"Bild AH, Yao G, Chang JT, Wang Q, Potti A, Chasse D, Joshi MB, Harpole D, Lancaster JM, Berchuck A, Olson JA Jr, Marks JR, Dressman HK, West M, Nevins JR.Oncogenic pathway signatures in human cancers as a guide to targeted therapies. Nature. 2006 Jan 19; 439(7074):353-7. "
19047114,yes,NA,NA,primary_tissues,FF,Agilent,custom-commerical,GPL5689,Agilent Human 1 cDNA Microarray (G4100A),spotted DNA/cDNA,GSE8841|GSE8842,,2008,Analysis of gene expression in early-stage ovarian cancer.,"Marchini S, Mariani P, Chiorino G, Marrazzo E, Bonomi R, Fruscio R, Clivio L, Garbi A, Torri V, Cinquini M, Dell'Anna T, Apolone G, Broggini M, D'Incalci M.Analysis of gene expression in early-stage ovarian cancer. Clin Cancer Res. 2008 Dec 1; 14(23):7850-60. "
18698038,yes,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL570,HG-U133_Plus_2,in situ oligonucleotide,GSE9899|GSE9891,,2008,Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome.,"Tothill RW, Tinker AV, George J, Brown R, Fox SB, Lade S, Johnson DS, Trivett MK, Etemadmoghadam D, Locandro B, Traficante N, Fereday S, Hung JA, Chiew YE, Haviv I, Gertig D, DeFazio A, Bowtell DD.Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome. Clin Cancer Res. 2008 Aug 15; 14(16):5198-208. "
14706684,yes,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL80,HU6800,in situ oligonucleotide,,,2004,Gene expression patterns that characterize advanced stage serous ovarian cancers.,"Lancaster JM, Dressman HK, Whitaker RS, Havrilesky L, Gray J, Marks JR, Nevins JR, Berchuck A.Gene expression patterns that characterize advanced stage serous ovarian cancers. J Soc Gynecol Investig. 2004 Jan; 11(1):51-9. "
15897565,yes,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,HG-U133A,in situ oligonucleotide,,,2005,Patterns of gene expression that characterize long-term survival in advanced stage serous ovarian cancers.,"Berchuck A, Iversen ES, Lancaster JM, Pittman J, Luo J, Lee P, Murphy S, Dressman HK, Febbo PG, West M, Nevins JR, Marks JR.Patterns of gene expression that characterize long-term survival in advanced stage serous ovarian cancers. Clin Cancer Res. 2005 May 15; 11(10):3686-96. "
19318476,yes,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,HG-U133A,in situ oligonucleotide,,1,2009,Microarray analysis of early stage serous ovarian cancers shows profiles predictive of favorable outcome.,"Berchuck A, Iversen ES, Luo J, Clarke JP, Horne H, Levine DA, Boyd J, Alonso MA, Secord AA, Bernardini MQ, Barnett JC, Boren T, Murphy SK, Dressman HK, Marks JR, Lancaster JM.Microarray analysis of early stage serous ovarian cancers shows profiles predictive of favorable outcome. Clin Cancer Res. 2009 Apr 1; 15(7):2448-55. "
17290060,yes,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,HG-U133A,in situ oligonucleotide,,,2007,An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer.,"Dressman HK, Berchuck A, Chan G, Zhai J, Bild A, Sayer R, Cragun J, Clarke J, Whitaker RS, Li L, Gray J, Marks J, Ginsburg GS, Potti A, West M, Nevins JR, Lancaster JM.An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer. J Clin Oncol. 2007 Feb 10; 25(5):517-25. "
,"not sure (I found it, seems good, not on Gayatry's list though…)",NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,in situ oligonucleotide,GSE2109,,,,
19440550,yes,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,in situ oligonucleotide,GSE6008,1,2009,Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis.,"Murph MM, Liu W, Yu S, Lu Y, Hall H, Hennessy BT, Lahad J, Schaner M, Helland A, Kristensen G, BÃƒÂ¸rresen-Dale AL, Mills GB.Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis. PLoS One. 2009; 4(5):e5583."
,"not sure (I found it, seems good, not on Gayatry's list though…)",NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL80,[Hu6800] Affymetrix Human Full Length HuGeneFL Array,in situ oligonucleotide,GSE6822,,2007,Classification of ovarian tumor samples,"Novak JP, Ouellet V, Le Page C, Martinu K, Ponton A, Bachvarow DD, Filali-Mouhim A, Provencher DM, Tonin PN, Hudson TJ, Mes-Masson A"
16996261,yes,NA,NA,primary_tissues,FF,other,non-commercial,GPL5886,SWEGENE H_v2.1.1_27k,spotted oligonucleotide,GSE12418,,2006,Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors.,"Partheen K, Levan K, Osterberg L, Horvath G.Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors. Eur J Cancer. 2006 Nov; 42(16):2846-54. "
19486012,yes,NA,NA,primary_tissues,FF,Agilent,commercial,GPL887,Agilent-012097 Human 1A Microarray (V2) G4110B (Feature Number version),in situ oligonucleotide,GSE12470,,2009,Gene expression profiling of advanced-stage serous ovarian cancers distinguishes novel subclasses and implicates ZEB2 in tumor progression and prognosis.,"Yoshihara K, Tajima A, Komata D, Yamamoto T, Kodama S, Fujiwara H, Suzuki M, Onishi Y, Hatae M, Sueyoshi K, Fujiwara H, Kudo Y, Inoue I, Tanaka K.Gene expression profiling of advanced-stage serous ovarian cancers distinguishes novel subclasses and implicates ZEB2 in tumor progression and prognosis. Cancer Sci. 2009 Aug; 100(8):1421-8. "
