accession,pubMedIds,platform_title,citation,name,platform_shorttitle,platform_summary,platform_manufacturer,platform_distribution,platform_accession,technology_type,year,title,warnings
PMID17099711-GPL91,17099711,[HG_U95A] Affymetrix Human Genome U95A Array,"Stransky N, Vallot C, Reyal F, Bernard-Pierrot I, de Medina SG, Segraves R, de Rycke Y, Elvin P, Cassidy A, Spraggon C, Graham A, Southgate J, Asselain B, Allory Y, Abbou CC, Albertson DG, Thiery JP, Chopin DK, Pinkel D, Radvanyi F. Regional copy number-independent deregulation of transcription in cancer. Nat Genet. 2006 Dec;38(12):1386-96. Epub 2006 Nov 12.","Stransky, Radvany 2006",Affymetrix U95A,hgu95a,Affymetrix,commercial,GPL91,in situ oligonucleotide,2006,Regional copy number-independent deregulation of transcription in cancer,
PMID17099711-GPL8300,17099711,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,"Stransky N, Vallot C, Reyal F, Bernard-Pierrot I, de Medina SG, Segraves R, de Rycke Y, Elvin P, Cassidy A, Spraggon C, Graham A, Southgate J, Asselain B, Allory Y, Abbou CC, Albertson DG, Thiery JP, Chopin DK, Pinkel D, Radvanyi F. Regional copy number-independent deregulation of transcription in cancer. Nat Genet. 2006 Dec;38(12):1386-96. Epub 2006 Nov 12.","Stransky, Radvany 2006",Affymetrix U95Av2,hgu95av2,Affymetrix,commercial,GPL8300,in situ oligonucleotide,2006,Regional copy number-independent deregulation of transcription in cancer,
GSE5287,17671123,[HG-U133A] Affymetrix Human Genome U133A Array,"Als AB, Dyrskj¿t L, von der Maase H, Koed K et al. Emmprin and survivin predict response and survival following cisplatin-containing chemotherapy in patients with advanced bladder cancer. Clin Cancer Res 2007 Aug 1;13(15 Pt 1):4407-14.","Als, Orntoft 2007",Affymetrix HG-U133A,hgu133a,Affymetrix,commercial,GPL96,in situ oligonucleotide,2007,Emmprin and survivin predict response and survival following cisplatin-containing chemotherapy in patients with advanced bladder cancer,
GSE89,12469123,[Hu6800] Affymetrix Human Full Length HuGeneFL Array,"Dyrskj¿t L, Thykjaer T, Kruh¿ffer M, Jensen JL et al. Identifying distinct classes of bladder carcinoma using microarrays. Nat Genet 2003 Jan;33(1):90-6. ","Dyrskjot, Orntoft 2003",Affymetrix HuGeneFL,hu6800,Affymetrix,commercial,GPL80,in situ oligonucleotide,2003,Identifying distinct classes of bladder carcinoma using microarrays,
GSE32894,22553347,Illumina HumanHT-12 V3.0 expression beadchip,"Sjšdahl G, Lauss M, Lšvgren K, Chebil G et al. A molecular taxonomy for urothelial carcinoma. Clin Cancer Res 2012 Jun 15;18(12):3377-86. ","Sjšdahl,  Hšglund 2012",Illumina HumanHT-12 V3.0,illuminaHumanv3,Illumina,commercial,GPL6947,in situ oligonucleotide,2012,A molecular taxonomy for urothelial carcinoma,
GSE31684,22228636,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,"Riester M, Taylor JM, Feifer A, Koppie T et al. Combination of a novel gene expression signature with a clinical nomogram improves the prediction of survival in high-risk bladder cancer. Clin Cancer Res 2012 Mar 1;18(5):1323-33. ","Riester, Michor 2012",Affymetrix HG-U133Plus2,hgu133plus2,Affymetrix,commercial,GPL570,in situ oligonucleotide,2012,Combination of a novel gene expression signature with a clinical nomogram improves the prediction of survival in high-risk bladder cancer,
GSE13507,20059769,Illumina human-6 v2.0 expression beadchip,"Kim WJ, Kim EJ, Kim SK, Kim YJ et al. Predictive value of progression-related gene classifier in primary non-muscle invasive bladder cancer. Mol Cancer 2010 Jan 8;9:3.","Kim, Bae 2010",Illumina human-6 v2.0,illuminaHumanv2,Illumina,commercial,GPL6102,in situ oligonucleotide,2010,Predictive value of progression-related gene classifier in primary non-muscle invasive bladder cancer,
GSE1827,15930339,JAKE,"Blaveri E, Simko JP, Korkola JE, Brewer JL, Baehner F, Mehta K, Devries S, Koppie T, Pejavar S, Carroll P, Waldman FM. Bladder cancer outcome and subtype classification by gene expression.Clin Cancer Res. 2005 Jun 1;11(11):4044-55.","Blaveri, Waldman 2005",JAKE,JAKE,other,non-commercial,GPL1479,spotted oligonucleotide,2005,Bladder cancer outcome and subtype classification by gene expression,
GSE19915-GPL3883,20406976,Swegene Human 27K RAP UniGene188 array,"Lindgren D, Frigyesi A, Gudjonsson S, Sjšdahl G et al. Combined gene expression and genomic profiling define two intrinsic molecular subtypes of urothelial carcinoma and gene signatures for molecular grading and outcome. Cancer Res 2010 May 1;70(9):3463-72","Lindgren,  Hšglund 2010",Swegene Human 27K,,other,non-commercial,GPL3883,spotted oligonucleotide,2010,Combined gene expression and genomic profiling define two intrinsic molecular subtypes of urothelial carcinoma and gene signatures for molecular grading and outcome,
GSE19915-GPL5186,20406976,SWEGENE H_v3.0.1 35K,"Lindgren D, Frigyesi A, Gudjonsson S, Sjšdahl G et al. Combined gene expression and genomic profiling define two intrinsic molecular subtypes of urothelial carcinoma and gene signatures for molecular grading and outcome. Cancer Res 2010 May 1;70(9):3463-72","Lindgren,  Hšglund 2010",SWEGENE H_v3.0.1 35K,,other,non-commercial,GPL5186,spotted oligonucleotide,2010,Combined gene expression and genomic profiling define two intrinsic molecular subtypes of urothelial carcinoma and gene signatures for molecular grading and outcome,
