accession,pubMedIds,platform_title,citation,name,platform_summary,platform_manufacturer,platform_distribution,platform_accession,technology_type,year,title
GSE12418,16996261,"SWEGENE H_v2.1.1_27k","Partheen K, Levan K, Osterberg L, Horvath G.Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors. Eur J Cancer. 2006 Nov; 42(16):2846-54.","Partheen, Horvath 2006",PartheenMetaData,other,non-commercial,GPL5886,"spotted oligonucleotide",2006,"Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors."
GSE12470,19486012,"Agilent-012097 Human 1A Microarray (V2) G4110B (Feature Number version)","Yoshihara K, Tajima A, Komata D, Yamamoto T, Kodama S, Fujiwara H, Suzuki M, Onishi Y, Hatae M, Sueyoshi K, Fujiwara H, Kudo Y, Inoue I, Tanaka K.Gene expression profiling of advanced-stage serous ovarian cancers distinguishes novel subclasses and implicates ZEB2 in tumor progression and prognosis. Cancer Sci. 2009 Aug; 100(8):1421-8.","Yoshihara, Tanaka 2009",hgug4110b,Agilent,commercial,GPL887,"in situ oligonucleotide",2009,"Gene expression profiling of advanced-stage serous ovarian cancers distinguishes novel subclasses and implicates ZEB2 in tumor progression and prognosis."
GSE13876,19192944,"Operon human v3 ~35K 70-mer two-color oligonucleotide microarrays","Crijns AP, Fehrmann RS, de Jong S, Gerbens F, Meersma GJ, Klip HG, Hollema H, Hofstra RM, te Meerman GJ, de Vries EG, van der Zee AG.Survival-related profile, pathways, and transcription factors in ovarian cancer. PLoS Med. 2009 Feb 3; 6(2):e24.","Crijns, van der Zee 2009",OperonHumanV3,other,non-commercial,GPL7759,"spotted oligonucleotide",2009,"Survival-related profile, pathways, and transcription factors in ovarian cancer."
GSE14764,19294737,"[HG-U133A] Affymetrix Human Genome U133A Array","Denkert C, Budczies J, Darb-Esfahani S, Gy??rffy B et al. A prognostic gene expression index in ovarian cancer - validation across different independent data sets. J Pathol 2009 Jun;218(2):273-80.","Denkert, Lage 2009",hgu133a,Affymetrix,commercial,GPL96,"in situ oligonucleotide",2009,"A prognostic gene expression index in ovarian cancer--validation across different independent data sets"
GSE17260,20300634,"Agilent-012391 Whole Human Genome Oligo Microarray G4112A","Yoshihara K, Tajima A, Yahata T, Kodama S, Fujiwara H, Suzuki M, Onishi Y, Hatae M, Sueyoshi K, Fujiwara H, Kudo Y, Kotera K, Masuzaki H, Tashiro H, Katabuchi H, Inoue I, Tanaka K.Gene expression profile for predicting survival in advanced-stage serous ovarian cancer across two independent datasets. PLoS One. 2010 Mar 12; 5(3):e9615.","Yoshihara, Tanaka 2010",hgug4112a,Agilent,commercial,GPL6848,"in situ oligonucleotide",2010,"Gene expression profile for predicting survival in advanced-stage serous ovarian cancer across two independent datasets."
GSE18520,19962670,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array","Mok SC, Bonome T, Vathipadiekal V, Bell A, Johnson ME, Wong KK, Park DC, Hao K, Yip DK, Donninger H, Ozbun L, Samimi G, Brady J, Randonovich M, Pise-Masison CA, Barrett JC, Wong WH, Welch WR, Berkowitz RS, Birrer MJ.A gene signature predictive for outcome in advanced ovarian cancer identifies a survival factor: microfibril-associated glycoprotein 2. Cancer Cell. 2009 Dec 8; 16(6):521-32.","Mok, Birrer 2009",hgu133plus2,Affymetrix|Operon,commercial|non-commercial,GPL570|GPL9216,"in situ oligonucleotide",2009,"A gene signature predictive for outcome in advanced ovarian cancer identifies a survival factor: microfibril-associated glycoprotein 2."
GSE19829-GPL570,20547991,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array","Konstantinopoulos PA, Spentzos D, Karlan BY, Taniguchi T et al. Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer. J Clin Oncol 2010 Aug 1;28(22):3555-61.","Konstantinopoulos, Cannistra 2010 hgu133plus2",hgu133plus2,Affymetrix,commercial,GPL570|GPL8300,"in situ oligonucleotide",2010,"Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer"
GSE19829-GPL8300,20547991,"[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array","Konstantinopoulos PA, Spentzos D, Karlan BY, Taniguchi T et al. Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer. J Clin Oncol 2010 Aug 1;28(22):3555-61.","Konstantinopoulos, Cannistra 2010 hgu95",hgu95av2,Affymetrix,commercial,GPL570|GPL8300,"in situ oligonucleotide",2010,"Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer"
GSE9891,18698038,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array","Tothill RW, Tinker AV, George J, Brown R, Fox SB, Lade S, Johnson DS, Trivett MK, Etemadmoghadam D, Locandro B, Traficante N, Fereday S, Hung JA, Chiew YE, Haviv I, Gertig D, DeFazio A, Bowtell DD.Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome. Clin Cancer Res. 2008 Aug 15; 14(16):5198-208.","Tothill, Bowtell 2008",hgu133plus2,Affymetrix,commercial,GPL570,"in situ oligonucleotide",2008,"Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome."
GSE20565,20492709,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array","Meyniel JP, Cottu PH, Decraene C, Stern MH, Couturier J, Lebigot I, Nicolas A, Weber N, Fourchotte V, Alran S, Rapinat A, Gentien D, Roman-Roman S, Mignot L, Sastre-Garau X.A genomic and transcriptomic approach for a differential diagnosis between primary and secondary ovarian carcinomas in patients with a previous history of breast cancer. BMC Cancer. 2010 May 21; 10:222.","Meyniel, Sastre-Garau 2010",hgu133plus2,Affymetrix,commercial,GPL570|GPL2005|GPL6801,"in situ oligonucleotide|in situ oligonucleotide|in situ oligonucleotide",2010,"A genomic and transcriptomic approach for a differential diagnosis between primary and secondary ovarian carcinomas in patients with a previous history of breast cancer."
